t,T1,T2,T3,T4,T5
0.0,22.0,20.0,22.0,20.0,20.0
0.5,22.903172091830015,17.24707115162123,19.91803736833037,20.021930237044014,20.002530464258534
1.0,24.751519535985313,14.919368161836653,17.494435246041704,19.999196743752393,20.004621541021578
1.5,27.490598217493208,14.630460800235968,15.695423818910403,19.924808788243222,19.997216802753325
2.0,30.560019681277996,18.41433936495236,16.044764788501126,19.818543541017018,19.973937371799792
2.5,32.72121013439855,28.064505430570737,20.348827718897986,19.741111419111743,19.936893694149564
3.0,32.076403417994804,43.99615606239811,30.02709188645724,19.80017467912812,19.903399651106408
3.5,26.442801471524582,63.78148922602785,45.03260648061977,20.137731815507436,19.910965667048146
4.0,14.212501974020698,80.81418732679894,62.5436481408737,20.888401757727554,20.01644606211554
4.5,-4.3028737461627315,83.91249892754978,75.89602818817866,22.10360939915434,20.28446832426944
5.0,-25.294152028455617,58.9026320878005,74.52787444994247,23.64980884058322,20.76136749549328
5.5,22.900794410061636,17.246690306708086,19.91795383103121,20.02192980979764,20.002530448894447
6.0,24.74604707995656,14.917139405983143,17.49365092301051,19.99918912260043,20.004620989096246
6.5,27.481706608769937,14.623731303792319,15.692413077378882,19.924764209139944,19.997212198856428
7.0,30.548186792309092,18.399476503209584,16.036961233792407,19.81838447293079,19.973916288069493
7.5,32.70809583768606,28.03780321769214,20.332914856719345,19.74068529903937,19.936825055315598
8.0,32.064978619984785,43.95561568543788,29.99995460177373,19.799235915639937,19.903221435326277
8.5,26.43693397687808,63.729356035095144,44.99305832967062,20.135950831686586,19.910573818144236
9.0,14.215720044407005,80.75962286546189,62.49475320987975,20.885421234284337,20.01569126823189
9.5,-4.289546767698233,83.8731163787651,75.84734466417909,22.099161870070358,20.283169392742828
10.0,-25.27501717926466,58.90312256168876,74.4963829335199,23.643890642996784,20.75934945631746
10.5,22.897284528628468,17.246106900206335,19.917824647943576,20.021929175380425,20.002530424944553
11.0,24.738679766713567,14.913904854839451,17.492491297712316,19.999177680933926,20.004620155020366
11.5,27.470817429214996,14.614452650044035,15.688162435542987,19.92469951123647,19.99720541605527
12.0,30.53526525889567,18.380033074701863,16.02645075646902,19.818161759074115,19.973886154842045
12.5,32.696108368096404,28.00487172504922,20.312546183158922,19.74011028516183,19.936730005143755
13.0,32.05824291186342,43.909183059866294,29.967228068175885,19.798017511962186,19.902982603920197
13.5,26.440200954700867,63.675827556253836,44.948939160169175,20.1337362667307,19.910066639527646
14.0,14.23221422690647,80.71446055754336,62.44641909707221,20.881894760388164,20.014750807405946
14.5,-4.261065246706141,83.86120697796382,75.81022508740021,22.094214596954888,20.281619591659695
15.0,-25.243548938711942,58.95470073056794,74.49380551421339,23.637838915758728,20.757063392432947
15.5,22.89744892653904,17.24611994247953,19.917826658789945,20.02192919297429,20.00253042518235
16.0,24.7395062455608,14.914094467572573,17.492544607367115,19.999178074609553,20.00462017763081
16.5,27.472841810148914,14.615331837503241,15.688493255332087,19.92470328573745,19.997205738136515
17.0,30.53894888916854,18.382635637090484,16.027627081710015,19.818180387935627,19.973888232224674
17.5,32.70166200397717,28.0108075462914,20.315615133898927,19.740173816343656,19.93673870245348
18.0,32.065418440795,43.9204416530584,29.973727836293644,19.798187977424632,19.903010215541784
18.5,26.44812709545661,63.694200640122006,44.960663297940286,20.134120763004518,19.910138675298818
19.0,14.239397122239998,80.74053802429518,62.464829798226184,20.882651428974658,20.014912552455005
19.5,-4.25642973568074,83.89307001256415,75.8354939123103,22.095542170533754,20.281941197996733
20.0,-25.242834894483227,58.986726764293685,74.52366320561416,23.639940490402463,20.757639767824813
20.5,22.901062860959467,17.246711691380817,19.917956943918494,20.02192982068609,20.00253044911898
21.0,24.747395146793597,14.917449194396765,17.493737965191865,19.999189743881306,20.0046210229802
21.5,27.485007872425932,14.625166308607527,15.692953179002014,19.92477034758786,19.9972127180962
22.0,30.554193267680773,18.403722471729623,16.03888075874912,19.818414854085496,19.973919669578144
22.5,32.717150913849686,28.047484773668565,20.337921156165326,19.740788939984935,19.936839237656038
23.0,32.07667763202076,43.973976195586616,30.010555494770998,19.79951397831891,19.903266472092376
23.5,26.44985621728068,63.75931643752119,45.01217801627234,20.13657795440919,19.910691310731
